Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Haití;HTI;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;102042;10016;90101;6945;189;9023;10582;12742;1310;13817;14733;16005;18272;18103;16668;17048;17188;20454;20293;19914;24582;269754;241534;265086;302114;328044;336454;332624;328974;331734;320904
Hungría;HUN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;67421;645522;580019;583824;577843;574313;584549;569901;573533;579105;546333;562804;555999;581869;563498;559212;554575;538504;530142;478391;478805;469073;434272;407626;406252;433841;442484;494498;492029;472618;447693
Sólo BIRF;IBD;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;8,93E+12;9,04E+12;9,03E+12;9,09E+12;9,03E+12;9,45E+12;9,54E+12;9,67E+12;9,75E+12;9,74E+12;1,01E+13;1,04E+12;1,08E+13;1,17E+13;1,27E+13;1358224801;1451252517;1540178809;1586415226;1626990692;1749300336;18681912707;19248774835;19792020549;20038180862;19836736512;19913335898;20409330842;2,12E+11;2146294042;20952613307
BIRF y la AIF;IBT;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;9,36E+14;9,48E+12;9,47E+12;9,53E+11;9,46E+12;9,89E+12;1,00E+13;1,01E+13;1,02E+12;1,03E+13;1,06E+13;1,10E+13;1,14E+13;1,23E+13;1,33E+12;1,42E+13;1,51E+13;1,61E+13;1,65E+13;1,69E+13;1,82E+13;1,94E+13;19971471635;20532522319;2,08E+11;20620384742;20755543988;21305472432;2,21E+11;2240664081;21862973943
total de la AIF;IDA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;4,23E+11;4,39E+11;4,44E+11;4,39E+11;42782669453;4,41E+11;4,71E+11;48096129677;4,99E+11;5,14E+11;5,35E+11;5,53E+11;5,55E+11;5,69E+11;5,94E+11;6,14E+11;6,36E+11;6,56E+11;6,72E+11;6,64E+11;7,03E+11;7,28E+11;7226968;74050177;7703660786;78364823;84220809;89614159;92117758;94370039;910360636
mezcla de la AIF;IDB;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;28198653;29883677;31001992;30979118;29578173;30016848;31958684;321642433;33002915;33908622;355972766;3640063;3582288;3605784;3753863;37505523;38515526;38704012;39283839;37840716;40019495;41102057;39727685;41378891;4252354;4252629;4515392;4714804;4703814;4789446;4653014
Indonesia;IDN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1483429;1623145;1714156;1850873;1991758;2236788;2367171;261157;2627051;2794829;2806357;302055;305633;3338781;3412354;3421481;364467;3799566;3761378;3910827;4155366;4758009;4817913;4484002;4846401;4890528;4839787;5153957;5680076;6052906;563197
Sólo AIF;IDX;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1,41E+11;1,40E+11;1,34E+11;1,29E+11;13204496453;1,41E+11;1,52E+11;15931886377;1,69E+11;1,75E+11;1,79E+11;1,89E+11;1,97E+11;2,08E+11;2,18E+11;2,39E+11;2,51E+11;2,69E+11;2,79E+11;2,86E+11;3,03E+11;3,17E+11;32541995;32671286;3451306786;35838533;39066889;42466119;45079618;46475579;445059236
India;IND;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;5635754;607224;6262933;6513511;685903;7378564;7740702;8192688;8362699;9013252;9378584;9535373;9854533;10117709;10856669;11364664;12152052;13367371;1424383;15648811;1659983;1756744;1909442;19724294;2147107;21580232;21952485;23088044;24581759;24239514;22008363
Irlanda;IRL;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;309615;314667;315054;316536;328187;334482;348212;359725;38419;399733;425335;448153;439298;440868;446876;466505;472633;466048;459113;405833;403477;364881;370095;356882;355565;370872;390098;377291;374736;358122;337422
Irán, República Islámica del;IRN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1984717;2191012;2336509;236729;2666971;2715195;2798121;2923986;2909974;3233604;3404562;3540684;3698758;3897771;4176604;4507957;4841791;5141428;5230483;5422971;5411711;5520509;5591221;5837031;6053561;5991827;6072163;6264279;6374337;6252515;6165613
Iraq;IRQ;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;642064;455451;673382;89562;102116;1000688;988808;1189102;917841;727144;876305;975533;911648;812781;881083;851279;829581;766501;881363;942055;1085503;1130398;1290043;1391036;1340459;1331697;1432811;1564564;1681543;1806876;1635115
Islandia;ISL;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;194746;191398;19448;198365;209064;200114;226672;215397;215338;211539;222544;216329;224377;222641;230999;226125;231185;238297;218263;2108;1959124;188835;18599;20318;20475;20575;1633;1671;16993;16382;14466
Israel;ISR;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;338059;345236;368573;405046;433612;467753;487341;509674;515047;529836;569973;579525;610806;629255;631599;610124;64331;665979;66708;657277;705203;698228;760632;670025;647178;663147;65233;659063;614245;627963;584718
Italia;ITA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;405262;4040741;4022743;3969279;3922855;416415;4121535;4155173;4263722;4330106;4362966;4365714;4434731;4621978;4724048;4738318;4666545;4593711;4449845;3970571;4052723;3966874;3767472;3464583;327498;3378621;3333448;3291933;3248842;317223;2812868
Jamaica;JAM;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;74668;74053;81485;83271;83848;86828;90477;92043;97311;99865;100714;100863;102514;10597;10572;105637;120598;120295;96254;7889;74798;75294;6959;74023;71913;70887;75495;7225;8589;83943;58356
Jordania;JOR;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;9934;97812;119253;122038;129943;136041;138683;143736;14616;146308;162681;162509;168735;173098;185809;19869;20167;210903;20009;20665;201968;207563;241233;238037;255531;253091;24730;260218;24710;231479;209741
Japón;JPN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;10905081;11039613;11150351;11075868;11607551;11709854;11846466;11726041;11302805;11689547;11844249;11723395;12067602;12139295;12072857;12154744;11930433;12279908;11588361;11023862;11572418;12137756;12543194;12673762;12173066;11783491;11648694;1150835;11111153;10736453;10140647
Kazajstán;KAZ;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;2372509;246366;2538417;2192456;1991701;17523763;15339484;13224074;13583836;122649272;120151999;1174434;13106744;14614222;1580296;1692176;1852993;1983924;242038;2136171;2297022;2454553;244599;2600154;2092613;1910596;2024757;2148977;2168967;2045922;2118967
Kenya;KEN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;6269;60177;60888;59913;6107;65712;71982;67978;74112;77125;86302;78797;76648;6837;76627;87076;97654;98689;104117;124244;134244;139639;129813;143877;16700;180903;193101;200972;192539;194819;194468
Kirguistán;KGZ;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;227623;204229;137641;100807;65445;45943;57606;56795;60223;47847;46433;39621;49651;55797;55579;5307;53623;64731;74415;67346;63944;76904;10146;9455;98485;102666;96756;9439;113068;100174;90801
Camboya;KHM;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1260416;1304384;1348352;1384992;1425296;14708;15298;16406;18822;19071;1963;21526;22109;23782;23778;26575;2963;366073;40555;4745;51408;53637;56739;57376;69472;84326;110664;126605;135557;180932;186528
Kiribati;KIR;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;24;247;252;29;273;301;346;329;314;321;355;347;437;465;508;618;683;582;64;586;543;542;577;638;601;607;567;727;732;736;569
Saint Kitts y Nevis;KNA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1137;1153;1175;1205;1313;1346;1414;1481;1603;1681;1812;1888;2018;2019;2192;2036;2104;2245;2213;2286;2292;2364;2291;2272;2284;2376;2446;243;2452;2475;231
Corea, República de;KOR;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;2476758;2747927;2970499;3276044;3542771;385406;4099903;4316376;3665672;4018785;4472373;456674;4610001;4639139;4859096;4810021;4878521;5036938;5149245;5266395;5752157;5984808;6003163;5996014;5880886;6078271;6154436;6261784;6301866;6121337;5696818
Kuwait;KWT;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;291284;782339;230458;307426;366716;362487;356286;373065;421336;457416;498382;531887;555936;58121;619178;699107;72438;705995;758471;776542;807256;832911;853161;873638;85576;890217;913762;903783;926521;938636;923089
América Latina y el Caribe (excluido altos ingresos);LAC;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;7,34E+11;7,61E+11;7,73E+11;7,95E+11;8,38E+11;8,50E+11;9,04E+11;9,60E+11;1,00E+12;9,97E+11;103652312;103718096;103655556;105806056;110456066;113754956;117450987;121856818;124852739;120930057;129392557;135245847;140113017;144205897;145934164;146044424;1431232126;141799207;137519637;137683306;124220006
República Democrática Popular Lao;LAO;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;51296;545936;595573028;610267589;638320445;674951962;78146135;826369183;852378127;878107523;90307;99781;110548;115144;121121;125728;16428;17343;20482;25375;28771;3043;32719;41608;43445;88759;157022;190545;196638;191709;191789
Líbano;LBN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;56221;703989;70214;103263;112744;133049;141236;161275;162554;17035;156728;168909;168362;174149;178793;172789;162337;150396;18646;219027;208643;211751;234701;232445;25151;270168;277551;291709;274013;269165;214749
Liberia;LBR;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;45382;3745198;402374;420769;418824;422237;435902;454743;490455;399774;42581;44827;44376;476087;55867;6678;68715;64107;54016;53384;72976;84818;94415;90521;12051;12478;139789;12684;11266;11462;11795
Libia;LBY;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;286035;288216;263423;305909;386518;434918;454397;422049;419024;432232;447249;444569;455961;489315;48469;530041;529304;493955;532759;56404;595596;415064;583151;597673;592891;513312;486948;520951;541001;546927;44467
Santa Lucía;LCA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1928;2008;2272;2521;2783;2929;3131;314;3454;3612;3668;3866;3733;3962;4169;4111;4316;440;4449;4442;5077;5016;507;5064;5059;5012;5055;5309;5279;5346;4992
América Latina y el Caribe;LCN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;8,90E+11;9,16E+11;9,32E+11;9,58E+11;1,00E+12;1,03E+12;1,09E+12;1,16E+12;1,21E+12;1,20E+12;124486742;124959466;125447376;127503596;133193806;137634866;141826247;146490318;150854409;146864967;157060887;163503492;170770979;175219684;17609800986;175069394;1710227796;168594834;163357034;162069503;143808003
Países menos desarrollados: clasificación de las Naciones Unidas;LDC;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;66386481181;65774496894;66917499751;69719717731;7664422453;86209173729;92262644675;9856622377;1,02E+11;1,08E+11;1,10E+11;1,18E+11;1,24E+11;1,35E+11;1,42E+11;1,49E+11;1,58E+11;1,69E+11;1,79E+11;1,94E+11;2,10E+11;2,24E+11;23451725;25568226;27530709;2866602;31318529;33980649;35929788;37059559;351230476
Países de ingreso bajo;LIC;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1,81E+11;1,77E+11;1,63E+11;1,55E+11;1,52E+11;1,50E+11;1,44E+11;1,44E+11;1,42E+11;1,50E+11;1,57E+11;1,63E+11;1,61E+11;1,69E+11;1,75E+11;1,93E+11;2,02E+11;1,97E+11;2,11E+11;1,96E+11;1,96E+11;1,82E+11;17027361;15515411;16050478;14465301;14921028;17901785;18312034;19119528;179664936
Liechtenstein;LIE;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;198970856;206329151;206950491;21503442;20111109;204201614;205960367;218376491;229238713;226566397;216859998;21467105;220018273;229354516;22939083;228986322;2311208;200793925;219535867;205374673;190830439;176781993;185325447;192544887;16125917;159773794;149838256;155769397;142950403;149025716;141996093
Sri Lanka;LKA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;38392;39854;52483;50913;57668;58164;83553;83405;86084;94963;109289;10848;113852;124123;128682;139844;124049;135916;128107;122914;130718;154102;174404;144484;174583;192409;231676;231405;216903;234279;218463
Países de ingreso mediano bajo;LMC;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;2103131876;215497212;2,13E+12;2,09E+12;2,07E+12;2,14E+12;2,18E+11;2,25E+12;2,27E+12;2,39E+12;2459953196;252589395;259770672;269549433;283047042;294373208;309323866;329800076;342692247;356262533;374466033;391644971;411616579;424407139;448310891;451556719;466483881;485663384;510546774;512275731;48195958
Ingreso mediano y bajo;LMY;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;8,81E+12;8,96E+12;8,95E+12;9,00E+11;8,94E+12;9,35E+12;9,42E+12;9,56E+12;9,69E+11;9,73E+12;1,01E+13;1,05E+13;1,09E+13;1,17E+13;1,27E+12;1,36E+13;1,46E+13;1,55E+13;1,60E+13;1,64E+13;1,76E+13;1,88E+13;19332864235;19895263019;20194597152;20008374912;20146301188;20716381032;2,16E+11;2186047261;21383256243
Lesotho;LSO;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;13955;14477;1503;15442;15841;16147;16441;16747;17056;1725;17475;17708;18008;18251;18719;19015;1923;19593;20074;21017;21588;28852;29196;22065;2349;21442;21262;24023;22766;23001;23119
avanzada del dividendo demográfico;LTE;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;6,24E+12;6,31E+12;6,29E+12;6,32E+12;6,23E+12;6,54E+11;6,55E+12;6,52E+12;6,59E+12;6,53E+12;6,79E+12;7,04E+11;7,34E+12;8,09E+12;8,87E+12;96632466;1040390925;1104215487;1137827063;1166092699;12652493224;1361908375;139345303;1441224633;1,44E+11;1426364003;142699824;145775718;151621154;154680443;1548834762
Lituania;LTU;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;322179;34291;19998;157541;148192;137458;142398;139241;147066;122472;105159;111555;112232;112327;11915;128292;130197;132096;130664;116921;12603;118456;119258;113311;108629;110674;112031;112222;116525;117358;116938
Luxemburgo;LUX;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;11285;117534;114355;116453;108106;86599;87368;82422;75655;79203;85567;91185;98183;102416;116598;119129;117172;111144;110225;104429;110291;109068;10698;101733;96432;91334;88459;90065;93208;95003;78531
Letonia;LVA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;187774;172015;139748;1175731;102235;899682;90094;85286;81325;75489;692957;73572;73522;75932;76165;7715;81999;85318;81059;73641;85181;78973;75707;74524;72823;73159;71453;71167;77852;75691;69283
Marruecos;MAR;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;214978;23119;24879;25577;277125;287918;284847;299038;306346;321987;328765;36273;37470;372511;41009;435799;44991;46341;486302;487657;517495;559235;58076;575955;586917;603625;602899;630149;642861;709863;667195
República de Moldova;MDA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;305321;245995;203222;174141;141382;121415;104027;95804;86491;73524;67096;70178;71824;77654;77759;81756;79751;81392;8150;76381;82951;83445;81373;71815;77122;80206;8143;8064;85559;89216;86112
Madagascar;MDG;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;89113;95269;96466;99672;121312;13718;13083;141942;162694;166963;165402;166904;112193;15534;164554;170964;163709;17231;178034;168622;18698;219389;274174;293023;301062;328462;318172;3481;330487;39277;274545
Maldivas;MDV;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1567;1596;2251;2026;2046;2614;2816;3383;311;4299;4622;4813;6144;5285;6931;6269;7905;8106;8706;9166;963;10128;11446;11285;13552;13393;14659;15461;17761;19995;1454
Oriente Medio y Norte de África;MEA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;86005696;88406401;95546475;101701572;109242193;112466868;116371078;121867728;122311292;126826668;13261703;139196522;144264938;149531841;15789439;16838952;17810795;18631686;19757466;20398485;21286545;21729506;22931001;234110189;241900247;245324385;247642997;25111654;25004174;250861457;24160649
México;MEX;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;2695754;2879958;2916825;3006675;3265048;3068421;3226991;3424784;3651424;3551783;379176;3788306;3860046;4046922;414102;4321874;4483028;457121;4595481;4483725;4628695;4784035;4864542;4757375;4622401;4716326;4763946;4744985;4448984;4518288;3831314
Islas Marshall;MHL;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;0;0;802;85;886;927;935;933;955;955;1028;1064;1161;114;1193;1189;125;1322;1333;1373;1408;1411;139;1423;1441;1463;1465;1493;1511;1523;110
 Ingreso mediano;MIC;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;8,63E+12;8,78E+12;8,79E+11;8,85E+12;8,78E+12;9,20E+12;9,28E+14;9,42E+12;9,55E+12;9,58E+12;9,98E+12;1,03E+12;1,07E+13;1,16E+13;1,25E+13;1345366444;1437666163;1527760585;1574202663;1616581876;1739487189;18600068917;19162590625;19740108909;20034092372;19863721902;19997090908;20537363182;2,14E+11;2166927733;21203591307
Macedonia del Norte;MKD;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;85913;83837;83324;86397;83508;83057;98625;87861;96514;88795;85221;86706;81285;88291;85426;88818;88529;93281;9120;85123;83296;91571;87989;78622;74429;71421;69627;74362;69506;79561;67967
Malí;MLI;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;436011;441298;477186;516773;566421;611996;667281;74499;956;999;10938;11969;12435;12793;14512;15008;15817;18374;20166;19439;2154;23467;25107;28136;31744;33438;34086;36298;38679;39374;41507
Malta;MLT;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;23146;22106;21691;28063;2507;23788;23243;24696;23745;24092;21292;24891;23184;2608;2598;26264;26506;27156;27243;25099;25866;25731;27156;23715;23563;16571;13523;15212;15525;16586;16107
Myanmar;MMR;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;4083;40152;42782;48136;56474;69366;73096;72479;7913;8741;94405;83518;83412;104866;102682;108563;100579;105055;79436;73711;81313;86929;11964;135925;170348;19034;218608;32497;327845;33995;338746
Oriente Medio y Norte de África (excluido altos ingresos);MNA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;5329942;54896499;589786;6312329;6846844;7078147;7263631;7665878;7482409;7754996;813164;853985;8725696;8986263;9551126;10283542;10790501;11215168;11653535;12077878;12319475;12387091;12976965;132778049;136035517;134981545;136727487;14220545;14496935;143968167;1370939
Montenegro;MNE;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1915340257;1355040692;1483273865;1293619997;1256652545;132733624;1552994239;1669796938;1757579585;1211858108;1520843393;166726822;1766249476;1889193348;2041277687;20048;21793;20984;26933;17475;25842;25359;23316;22673;22184;23591;21507;2267;25003;26011;25272
Mongolia;MNG;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;129681;1475807;1285842;1185258;1032384;1027547;869027;851894;85487;860658;899667;89704;960446;931216;956128;1105815;124192;130215;129744;1363849;143111;157294;171415;1838413;18122;173006;181728;195755;215457;231469;211847
Mozambique;MOZ;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;111723;93609;109738;1288573;109688;117264;116172;128766;124168;123376;14269;14115;15709;19046;1910;17091;1861;22307;22387;24943;26806;32943;36408;41505;48233;54783;72438;71623;68751;75302;69455
Mauritania;MRT;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;8418;863;8967;9148;9485;1001;10621;10509;9883;11092;11187;11788;12697;13036;14135;1448;14594;17169;17971;19947;20737;21829;23554;21012;25345;29665;25842;34083;37161;38248;38471
Mauricio;MUS;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;11641;12516;13233;14691;15142;15515;16141;16242;17916;21984;24319;25656;26126;27486;27703;29618;33042;33952;34668;34233;36618;3639;3725;3818;39494;39609;40355;41744;41339;41737;37202
Malawi;MWI;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;72247;79202;79269;8855;90753;90927;92659;92239;89645;93268;87523;84728;85992;89344;89857;854327;861944;92719;1009897;103669;98446;107259;107642;115433;10456;108952;122357;13946;16094;16437;1640
Malasia;MYS;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;54615;650962;671747;730444;797393;86310;986447;1060152;1056852;1144547;1243559;1294587;1363779;144010;157850;1669734;1736329;1894648;2024586;1814727;199867;2024013;2054158;2230865;2362646;2362294;2316694;2251041;2414514;244882;2451393
América del Norte;NAC;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;52640096;52207951;53059934;54172573;55035676;55650829;5735187;60201653;60753281;61032958;62900223;62548777;61173778;62035338;62747033;63025259;61936066;63079513;61089321;56778243;59292009;57229611;55023446;56478396;56689691;55494509;54513733;5387541;55548743;53837122;48374062
Namibia;NAM;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;;11179;12181;14146;16362;17734;19237;19735;20176;1979;19423;24597;21316;22688;23767;25255;24913;25469;29299;30001;31035;33038;35074;37624;39321;41373;4152;4224;42793;43163;39528
Níger;NER;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;565434;536726;499783;570307;546696;524941;610172;61371;66673;65253;660227;65887;6856;7499;776855;742119;737518;813516;85411;107527;1361057;139944;188557;197501;215678;211159;209626;1901;195629;215915;219795
Nigeria;NGA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;727688;819261;918064;862373;783258;861645;1002272;986469;886998;87017;972151;1019453;922376;1009949;987249;98719;887677;811226;86932;769474;900552;949965;953353;1081168;1148155;1077464;1108175;1084812;1136331;1195441;1119781
Nicaragua;NIC;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;19339;19191;22354;21987;25254;26527;28166;30201;35192;35416;3768;39255;40629;45627;45319;43387;45476;46963;4503;43945;45132;47662;4686;44733;47586;52867;54107;54289;50248;51319;45822
Países Bajos;NLD;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1515207;1572668;1560097;1601372;1596041;1641064;1736234;1663109;1667344;1614461;1620967;1671161;1674294;1703628;1721165;167926;1637027;1645506;1652219;1604883;1711105;158768;1574734;1570902;1497934;157376;1584993;1557109;1513823;145939237;1303151
Noruega;NOR;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;293054;273253;301979;324286;344124;343892;345971;365435;378875;397024;342831;347352;34381;371868;373548;363664;372106;377601;368728;374393;401164;390713;387701;39627;39643;402888;395784;391749;385715;376616;361774
Nepal;NPL;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;9388;118225;123416;14098;17445;18957;19591;219137;23157;31237;3221;34646;27867;30218;28096;31886;26161;26936;29949;38828;46409;51992;59978;60878;71322;71862;107357;132653;151394;138605;149492
Nauru;NRU;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1263;1266;1206;1145;1114;1084;1021;1024;995;934;88;806;78;687;64;625;441;415;423;404;427;401;421;473;506;545;527;56;54;534;414
Nueva Zelandia;NZL;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;223107;226297;24380;239603;242259;243258;254128;27689;271808;286129;29455;316188;315431;333976;328361;342322;342659;332705;341654;311697;310493;302906;321074;318855;319707;322812;311857;329274;32409;340082;313597
Miembros OCDE;OED;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1134405836;1138910528;114227178;1151191366;1170701004;1185999186;1223485402;1250254297;1250522118;1255974509;1287295041;1288739869;1279396387;1301902751;1314727619;1319140765;1312362965;1328968297;1295304413;121958135;12694352824;1246675155;122911737;123511978;121167862;120527154;119855586;119582696;119841501;11605058237;1057077572
Omán;OMN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;119193;157209;149222;151757;161957;188704;193829;20024;195192;219791;25115;280323;299721;317005;312569;310141;391871;422623;413144;435951;470763;536202;605494;630154;663867;701317;721976;716332;75365;757448;710415
Otros Estados pequeos;OSS;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;83923170257;84903210692;79892513865;79441779997;83183132545;8286432624;87878614239;94349146938;96827989585;99739648108;98878823393;10171443822;1,06E+11;1,13E+11;1,18E+11;12337237;13253665;14352159;14814232;14454559;156681794;165799027;171440705;177358399;185899332;184664262;188833482;191127612;1909054875;18905937;181678207
Pakistán;PAK;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;59026;603058;669778;737496;762536;827372;858211;893625;901903;987733;983741;998372;1023256;1056635;1183136;1216087;1323042;1458133;1407342;1453379;1403786;141690;1438191;1459937;1542352;1641523;1811133;1987388;1868656;1840963;1841112
Panamá;PAN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;26929;31247;36354;37952;40369;43555;44063;46375;57216;50129;52827;62165;5410;55253;56095;71164;74903;74843;72975;86985;91906;99941;104616;102523;107581;106099;106524;101364;99188;130999;95827
Perú;PER;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;208753;202666;210338;218013;225381;256499;280622;279589;269703;290724;286342;265372;27731;271577;312371;312918;308437;338084;382926;411706;449985;484274;481206;497519;531678;545535;568603;542743;545899;569722;465789
Filipinas;PHL;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;408689;404422;438037;475779;51270;614148;668998;744478;738702;716212;719428;702591;712572;731419;747183;761902;693055;732505;750394;763219;819178;825445;86165;955041;1018225;1109909;1208951;1334567;1391191;1458713;1334713
Palau;PLW;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;0;0;1975;1981;1986;1977;1989;2018;2033;204;2115;2158;2171;2156;2178;2267;2287;2234;2129;2046;2148;2126;222;2211;2178;2009;2079;213;2119;2174;1582
Papua Nueva Guinea;PNG;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;21686;21764;21796;22125;20561;21321;22324;24018;26532;26033;28252;33838;36071;40708;46112;43239;43454;47372;47602;5050;5042;51795;49057;52245;58369;63697;65609;65043;7114;74675;54915
Polonia;POL;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;3502146;3516249;3433684;3440164;3397522;3400038;3553202;344627;3184141;3089781;2957744;2936274;2873203;2977308;301854;301353;314093;3133754;3083253;2972603;3137391;3105936;3033514;2983044;285730;2890774;2998024;3127699;3117549;2949483;2792238
previa al dividendo demográfico;PRE;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1,88E+11;1,80E+11;2,12E+11;2,29E+11;2,36E+11;2,46E+11;2,66E+11;2,88E+11;2,53E+11;2,38E+11;2,62E+11;2,78E+11;2,64E+11;2,66E+11;2,79E+11;2,80E+11;2,75E+11;2,67E+11;2,92E+11;2,99E+11;3,37E+11;3,55E+11;37439053;40644033;41948076;42334777;44195988;45535045;47674354;50646328;469494036
Corea, República Popular Democrática de;PRK;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1193075;1129362;997121;914193;836126;782423;686605;660379;609186;666154;718229;743851;71198;727382;743237;776782;789371;656338;728315;552569;516898;370989;384834;276291;312233;251015;281277;54286;501213;555484;524372
Portugal;PRT;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;410686;427677;46774;457928;473029;506932;487425;509316;556006;622076;616612;613836;656049;605236;621288;654738;60448;587976;568444;562996;509373;498679;482203;465552;459311;498519;486952;532727;494612;445647;389735
Paraguay;PRY;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;20722;20203;24746;28176;33351;37812;3723;41072;42669;42663;35243;36148;37754;39376;39737;36985;39546;37205;43232;45679;50433;5218;51774;53012;5628;63675;71926;79209;83601;81016;75757
Estados pequeos de las Islas del Pacfico;PSS;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;126258;129415;174105;176879;178603;185357;19398;195111;196515;199472;204578;22577;21117;23069;25701;23243;24755;24577;21636;21459;24737;24268;2380;25009;2656;26594;2637;28006;28953;29592;2178
posterior al dividendo demográfico;PST;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1130194262;1126185873;1120203502;1119040483;1125528355;1138586127;116549271;1187887662;118620486;119325348;122054015;122425791;121387473;123480572;124332832;124345436;123217776;124515517;121085701;113257858;117941179;1154769505;1134191952;1141136777;1115517257;1101465547;1090746337;1081108327;1088223797;10513545907;955583037
