Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Belice;BLZ;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;3403;4416;3825;4057;4027;4052;3306;419;3996;3744;4252;4814;4497;4502;4096;4353;4612;4916;4509;532;5312;5734;4653;4574;4837;6751;6513;6431;630;7362;6876
Bolivia;BOL;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;104079;108679;111737;102605;9565;86345;83312;91863;87286;82852;81081;78129;83395;88787;93824;9883;107149;119075;127342;135704;147022;159917;16961;181239;194783;200029;213287;216282;218812;218288;183753
Brasil;BRA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1978974;2054754;2078654;2152595;2224975;2412838;2624141;281335;2905872;3009587;3136708;3193757;3177565;3108081;3285173;3316891;3356246;3525558;3736331;3500009;3979311;4182954;4542329;4868447;511618;4853441;4470773;4556848;4338388;434318;4141388
Barbados;BRB;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;100432;100003;92575;87684;92958;9466;98047;106852;11371;12087;11881;12168;12063;12499;12802;13261;13476;1367;1619;15997;14815;151625;146762;143947;128207;126957;129077;117997;127017;116727;109607
Brunei Darussalam;BRN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;32603;33845;35854;39281;42651;46007;48272;52252;45179;4433;47179;47088;46201;55155;5103;49913;75208;71432;79125;78743;71708;73327;72995;72088;70803;63977;69685;72902;7540;70578;9588
Bhután;BTN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;18539;1828;20511;17705;2059;24603;29656;38117;37742;37853;38884;37931;41152;37773;31351;39542;3975;39871;42262;39683;49318;7442;8339;908;10124;10421;12284;13095;14543;1433;10352
Botswana;BWA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;28074;27347;32983;32497;30801;31898;29159;3066;36822;38585;40338;38656;40267;3915;39703;42786;40869;43198;43927;418658;33717;3883337;3414335;5421539;6988912;6949712;6629312;7337512;80613875;71983;5763687
República Centroafricana;CAF;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;148;142;1515;1576;1607;1638;167;167;2274;2368;2432;253;2498;231;2262;2241;2343;2378;1714;1682;1748;1942;1972;1206;1304;1844;2064;2224;2291;2354;2366
Canadá;CAN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;4194922;4132986;4263673;4220478;4367646;448046;4617007;4768159;4847918;4942785;5142151;5066159;5243534;5445418;5364173;5490327;5405256;571632;5505532;5213994;5370915;5493699;5462916;5557424;5617605;5587472;5568741;5681759;5795739;5660018;5168737
Europa Central y del Báltico;CEB;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;9912464;9162981;8506987;82625311;8055099;80924102;8352091;8095966;7602267;717907;71057487;722553;7077002;7362221;7351011;735068;7533881;7588388;7403436;6847806;7084179;7094989;6823249;6558377;6354365;644756;6567539;6840833;6784465;6436121;59849002
Suiza;CHE;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;433265;456668;457026;43452;42593;434394;44006;427483;442473;445281;437088;451547;435733;448395;452839;458507;454793;435412;449625;436686;452078;411923;425166;435312;397933;390908;396665;38699;374813;373763;349161
Chile;CHL;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;305336;292434;303469;324651;358268;38972;448963;512852;520137;544303;504245;484251;491214;502006;549721;559689;571481;64574;679916;654506;697491;764705;784126;829985;765603;822604;865047;871369;865813;919154;848278
China;CHN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;21733642;23021852;24181753;26454117;27676664;30886202;30705051;31341126;32362786;31536611;33465258;35290813;37961571;44244126;51132166;58246251;64374703;69931828;71996047;77190714;84749227;92825537;95405397;9979128;100210434;98592812;9860914;100892732;10567262;10762824;109446862
Côte d'Ivoire;CIV;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;27054;27915;27721;29573;30936;33651;40536;49726;49897;68314;64894;64943;68389;53076;54661;58765;56987;56578;64747;60312;63506;61183;80377;86924;91969;98057;95935;105638;101948;108389;108949
Camerún;CMR;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;2900;69662;68468;57669;46193;46795;47554;48624;50405;47884;52091;51568;51333;5206;51226;50163;50917;61315;63935;70324;70144;68015;68667;75268;82228;85002;89747;9076;97497;95573;99284
Congo, República Democrática del;COD;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;3179;17379;148242;189619;220823;211094;227134;226997;227574;209808;163493;156544;16502;19986;19397;22087;22828;24728;25533;25028;26539;30169;28273;39595;51361;32314;242114;2845;28139;30312;30256
Congo, República del;COG;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;320115;319342;312817;269049;20547;263481;316804;3266223;38757;39618;4346986;42435;27552;32249;35145;431323;477796;415072;436059;483856;542335;538397;526075;531161;51751;5655;54976;54067;62169;70061;71539
Colombia;COL;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;493644;510987;531994;566599;575145;600433;592533;64837;650714;559221;589955;595883;57373;56716;566089;58187;58193;597099;602981;626706;641461;697711;702232;777254;80091;810172;835262;75674;793552;791867;790576
Comoras;COM;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;655;687;703;733;749;78;796;843;922;969;1049;1098;1097;1397;1532;147;1721;1118;1141;1404;1678;150;1601;1922;1719;1859;2179;279;3027;3262;3282
Cabo Verde;CPV;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1838;1698;1829;1731;1759;2017;2224;2301;2481;2956;3058;3585;392;4191;416;4515;5187;460;4757;5106;5407;5668;5256;502;4964;4999;5429;5847;5947;6172;6206
Costa Rica;CRI;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;28712;30616;41485;41809;48505;48098;45269;44939;50153;5034;49468;54227;55232;57989;59436;62739;6557;76025;75153;71985;71055;74308;74467;77787;78323;75379;80089;81735;81666;79564;69674
